iso3admin1,countries,admin1,admin2,,
STP,Sao Tome and Principe,2,7,,
SUR,Suriname,10,62,,
SVK,Slovakia,8,79,,
SVN,Slovenia,38,211,,
SWZ,Swaziland,4,4,,
SXM,#N/A,1,1,,
SYR,Syria,14,89,,
TCA,#N/A,7,7,,
TCD,Chad,64,255,,
TGO,Togo,6,35,,
THA,Thailand,74,656,,
TJK,Tajikistan,4,58,,
TKL,#N/A,3,3,,
TKM,Turkmenistan,6,60,,
TLS,Timor-Leste,13,13,,
TON,Tonga,5,5,,
TTO,Trinidad and Tobago,15,15,,
TUN,Tunisia,24,283,,
TUR,Turkey,7,81,,
TUV,#N/A,9,9,,
TZA,Tanzania,39,236,,
UGA,Uganda,43,50,,
UKR,Ukraine,27,628,,
URY,Uruguay,19,19,,
USA,United States,51,3130,,
UZB,Uzbekistan,14,160,,
VCT,Saint Vincent and the Grenadines,6,6,,
VEN,Venezuela,24,335,,
VGB,#N/A,5,5,,
VIR,"Virgin Islands, U.S.",3,3,,
VNM,Vietnam,64,608,,
VUT,Vanuatu,6,6,,
WLF,#N/A,5,5,,
WSM,Samoa,2,11,,
YEM,Yemen,24,357,,
ZAF,South Africa,9,53,,
ZMB,Zambia,9,74,,
ZWE,Zimbabwe,11,74,,
