,NAME.who_adm1,NAME.who,NAME.shpfile,Country,iso3,who_coverage,merge_status,field_name,location_code,shapefile
445,puntarenas,esparza,esparza,Costa Rica,CRI,104.2079208,success,GAUL_CODE,5006053,gadm_36_ad2
446,pernambuco,flores,flores,Costa Rica,CRI,108.8135593,success,GAUL_CODE,3004053,gadm_36_ad2
447,puntarenas,garabito,garabito,Costa Rica,CRI,94.65116279,success,GAUL_CODE,6006053,gadm_36_ad2
448,sanjose,goicoechea,goicoechea,Costa Rica,CRI,100.6105834,success,GAUL_CODE,8007053,gadm_36_ad2
449,puntarenas,golfito,golfito,Costa Rica,CRI,96.96969697,success,GAUL_CODE,7006053,gadm_36_ad2
450,alajuela,grecia,grecia,Costa Rica,CRI,97.6371308,success,GAUL_CODE,4001053,gadm_36_ad2
451,alajuela,guatuso,guatuso,Costa Rica,CRI,98.6440678,success,GAUL_CODE,5001053,gadm_36_ad2
452,heredia,heredia,heredia,Costa Rica,CRI,87.23646724,success,GAUL_CODE,4004053,gadm_36_ad2
453,guanacaste,hojancha,hojancha,Costa Rica,CRI,83.62068966,success,GAUL_CODE,5003053,gadm_36_ad2
454,valparaiso,lacruz,lacruz,Costa Rica,CRI,88.37675351,success,GAUL_CODE,6003053,gadm_36_ad2
455,guanacaste,liberia,liberia,Costa Rica,CRI,91.51172191,success,GAUL_CODE,7003053,gadm_36_ad2
456,alajuela,loschiles,loschiles,Costa Rica,CRI,88.55869242,success,GAUL_CODE,6001053,gadm_36_ad2
457,bahia,matina,matina,Costa Rica,CRI,98.51301115,success,GAUL_CODE,3005053,gadm_36_ad2
458,sanjose,montesdeoca,montesdeoca,Costa Rica,CRI,96.58703072,success,GAUL_CODE,10007053,gadm_36_ad2
459,puntarenas,montesdeoro,montesdeoro,Costa Rica,CRI,116.3043478,success,GAUL_CODE,8006053,gadm_36_ad2
460,extremenord,mora,mora,Costa Rica,CRI,106.234414,success,GAUL_CODE,11007053,gadm_36_ad2
461,sanjose,moravia,moravia,Costa Rica,CRI,87.75167785,success,GAUL_CODE,12007053,gadm_36_ad2
462,guanacaste,nandayure,nandayure,Costa Rica,CRI,87.59124088,success,GAUL_CODE,8003053,gadm_36_ad2
463,alajuela,naranjo,naranjo,Costa Rica,CRI,101.3605442,success,GAUL_CODE,7001053,gadm_36_ad2
464,guanacaste,nicoya,nicoya,Costa Rica,CRI,88.88888889,success,GAUL_CODE,9003053,gadm_36_ad2
465,cartago,oreamuno,oreamuno,Costa Rica,CRI,90.16152717,success,GAUL_CODE,6002053,gadm_36_ad2
466,alajuela,orotina,orotina,Costa Rica,CRI,99.69230769,success,GAUL_CODE,8001053,gadm_36_ad2
467,puntarenas,osa,osa,Costa Rica,CRI,95.88744589,success,GAUL_CODE,9006053,gadm_36_ad2
468,pernambuco,palmares,palmares,Costa Rica,CRI,98.48156182,success,GAUL_CODE,9001053,gadm_36_ad2
469,puntarenas,parrita,parrita,Costa Rica,CRI,98.03278689,success,GAUL_CODE,10006053,gadm_36_ad2
470,puntarenas,puntarenas,puntarenas,Costa Rica,CRI,98.61182519,success,GAUL_CODE,11006053,gadm_36_ad2
471,sanjose,puriscal,puriscal,Costa Rica,CRI,104.8,success,GAUL_CODE,14007053,gadm_36_ad2
472,mendoza,sancarlos,sancarlos,Costa Rica,CRI,97.00996678,success,GAUL_CODE,11001053,gadm_36_ad2
