,NAME,NAME.who,NAME.shpfile,iso3.x,who_coverage,who_coverage.x,who_coverage.y,merge_status,merge_status.x,merge_status.y,GAUL_CODE,GAUL_CODE.x,GAUL_CODE.y
273,zabre,zabre,NA,BFA,110.6624395,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
274,ziniare,ziniare,NA,BFA,92.29163445,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
275,zorgho,zorgho,NA,BFA,98.08990049,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
276,bal,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10541,NA,NA
277,bam,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10552,NA,NA
278,banwa,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10542,NA,NA
279,bazga,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10559,NA,NA
280,bougouriba,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10582,NA,NA
281,boulgou,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10549,NA,NA
282,boulkiemd,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10555,NA,NA
283,como,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10547,NA,NA
284,ganzourgou,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10575,NA,NA
285,gnagna,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10563,NA,NA
286,gourma,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10564,NA,NA
287,houet,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10568,NA,NA
288,ioba,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10583,NA,NA
289,kadiogo,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10562,NA,NA
290,kndougou,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10569,NA,NA
291,komandjoari,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10565,NA,NA
292,kompienga,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10566,NA,NA
293,kossi,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10543,NA,NA
294,koulplogo,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10550,NA,NA
295,kouritenga,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10551,NA,NA
296,kourwogo,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10576,NA,NA
297,loroum,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10571,NA,NA
298,lraba,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10548,NA,NA
299,mouhoun,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10544,NA,NA
300,nahouri,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10560,NA,NA
301,namentenga,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10553,NA,NA
302,nayala,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10545,NA,NA
303,noumbiel,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10584,NA,NA
304,oubritenga,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10577,NA,NA
305,oudalan,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10578,NA,NA
306,passor,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10572,NA,NA
307,poni,NA,NA,BFA,NA,NA,NA,in shpfile but not WHO,NA,NA,10585,NA,NA
