,ADM1_NAME,ADM2_NAME,iso3,ADM0_NAME.x,year,vaccine,GAUL_CODE,merge_status,ADM1_NAME.who,ADM1_NAME.shpfile,ADM2_NAME.who,ADM2_NAME.shpfile,who_coverage,Note
83,moxico,altozambeze,AGO,Angola,2016,DTP3,2013,success,NA,NA,altozambeze,NA,410,
84,moxico,camanongue,AGO,Angola,2016,DTP3,2014,success,NA,NA,camanongue,NA,121,
85,moxico,luau,AGO,Angola,2016,DTP3,2017,success,NA,NA,luau,NA,59,
86,moxico,luchazes,AGO,Angola,2016,DTP3,2019,success,NA,NA,luchazes,NA,11,
87,moxico,lumbalanguimbo,AGO,Angola,2016,DTP3,2020,success,NA,NA,lumbalanguimbo,NA,315,
88,namibe,bibala,AGO,Angola,2016,DTP3,2022,success,NA,NA,bibala,NA,35,
89,namibe,namibe,AGO,Angola,2016,DTP3,2024,success,NA,NA,namibe,NA,50,
90,namibe,virei,AGO,Angola,2016,DTP3,2026,success,NA,NA,virei,NA,70,
91,zaire,cuimba,AGO,Angola,2016,DTP3,2043,success,NA,NA,cuimba,NA,39,
92,zaire,mbanzacongo,AGO,Angola,2016,DTP3,2044,success,NA,NA,mbanzacongo,NA,61,
93,zaire,noqui,AGO,Angola,2016,DTP3,2046,success,NA,NA,noqui,NA,87,
94,zaire,nzeto,AGO,Angola,2016,DTP3,2045,success,NA,NA,nzeto,NA,60,
95,zaire,soyo,AGO,Angola,2016,DTP3,2047,success,NA,NA,soyo,NA,61,
96,zaire,tomboco,AGO,Angola,2016,DTP3,2048,success,NA,NA,tomboco,NA,63,
97,NA,NA,AGO,Angola,2016,NA,1901,fuzzy need fix,bie,bi,camacupa,camacupa,57,
98,NA,NA,AGO,Angola,2016,NA,2023,fuzzy need fix,bie,namibe,camacupa,camacuio,57,r
99,NA,NA,AGO,Angola,2016,NA,1967,fuzzy need fix,huambo,huambo,caala,caila,116,
100,NA,NA,AGO,Angola,2016,NA,1963,fuzzy need fix,huambo,hula,caala,matala,116,r
101,NA,NA,AGO,Angola,2016,NA,1953,fuzzy need fix,huila,hula,caconda,caconda,88,
102,NA,NA,AGO,Angola,2016,NA,1987,fuzzy need fix,huila,lundanorte,caconda,capenda,88,r
103,NA,NA,AGO,Angola,2016,NA,1967,fuzzy need fix,huila,huambo,cacula,caila,139,change
104,NA,NA,AGO,Angola,2016,NA,1999,fuzzy need fix,huila,malanje,cacula,cacuzo,139,change
105,NA,NA,AGO,Angola,2016,NA,1961,fuzzy need fix,huila,hula,cuvango,kuvango,54,
106,NA,NA,AGO,Angola,2016,NA,1962,fuzzy need fix,huila,hula,cuvango,lubango,54,r
107,NA,NA,AGO,Angola,2016,NA,1928,fuzzy need fix,huila,cuanzanorte,gambos,dembos,76,r
108,NA,NA,AGO,Angola,2016,NA,1958,fuzzy need fix,huila,hula,gambos,gambos,76,
109,NA,NA,AGO,Angola,2016,NA,1960,fuzzy need fix,huila,hula,jamba,jamba,103,
110,NA,NA,AGO,Angola,2016,NA,2032,fuzzy need fix,huila,uge,jamba,damba,103,r
111,NA,NA,AGO,Angola,2016,NA,1961,fuzzy need fix,huila,hula,lubango,kuvango,73,r
112,NA,NA,AGO,Angola,2016,NA,1962,fuzzy need fix,huila,hula,lubango,lubango,73,
113,NA,NA,AGO,Angola,2016,NA,2018,fuzzy need fix,huila,moxico,lubango,lucano,73,r
114,NA,NA,AGO,Angola,2016,NA,2031,fuzzy need fix,uige,uge,bungo,bungo,115,
115,NA,NA,AGO,Angola,2016,NA,2041,fuzzy need fix,uige,uge,bungo,songo,115,r
116,NA,NA,AGO,Angola,2016,NA,1960,fuzzy need fix,uige,hula,damba,jamba,123,r
117,NA,NA,AGO,Angola,2016,NA,2032,fuzzy need fix,uige,uge,damba,damba,123,
