,ADM1_NAME,ADM2_NAME,iso3.x,vaccine,ADM0_NAME.x,who_coverage,GAUL_CODE,merge_status,ADM1_NAME.x,ADM2_NAME.who,ADM1_NAME.y,ADM2_NAME.shpfile
80,NA,NA,BDI,DTP3,Burundi,84.35458825,NA,fuzzy need fix,ngozi,buye,muramvya,mbuye
81,NA,NA,BDI,DTP3,Burundi,111.2040026,NA,fuzzy success,cibitoke,cibitoke,bujumburamairie,cibitoke
82,NA,NA,BDI,DTP3,Burundi,105.3751275,NA,fuzzy success,gitega,kibuye,muramvya,mbuye
83,NA,NA,BDI,DTP3,Burundi,103.3307389,NA,fuzzy success,karusi,nyabikere,karuzi,nyabikere
84,NA,NA,BDI,DTP3,Burundi,84.99529694,NA,fuzzy success,kayanza,musema,bujumburamairie,musaga
85,NA,NA,BDI,DTP3,Burundi,102.8654289,NA,fuzzy success,kirundo,mukenke,bujumburarural,mukike
86,NA,NA,BDI,DTP3,Burundi,93.06794051,NA,fuzzy success,muramya,muramvya,muramvya,muramvya
87,NA,NA,BDI,DTP3,Burundi,95.28556571,NA,fuzzy success,rumonge,bugarama,bujumburarural,bugarama
88,NA,NA,BDI,DTP3,Burundi,107.8618802,NA,fuzzy success,rumonge,rumonge,bururi,rumonge
89,NA,NA,BDI,DTP3,Burundi,129.787148,NA,fuzzy success,rutana,gihofi,mwaro,gisozi
90,bujumburamairie,zonecentre,BDI,DTP3,Burundi,80.93616405,NA,in WHO but not shpfile,NA,zonecentre,NA,NA
91,bujumburamairie,zonenord,BDI,DTP3,Burundi,111.900083,NA,in WHO but not shpfile,NA,zonenord,NA,NA
92,bujumburamairie,zonesud,BDI,DTP3,Burundi,95.25550916,NA,in WHO but not shpfile,NA,zonesud,NA,NA
93,bujumburarural,rwibaga,BDI,DTP3,Burundi,63.2777438,NA,in WHO but not shpfile,NA,rwibaga,NA,NA
94,cankuzo,murore,BDI,DTP3,Burundi,123.8137458,NA,in WHO but not shpfile,NA,murore,NA,NA
95,mwaro,fota,BDI,DTP3,Burundi,69.1761548,NA,in WHO but not shpfile,NA,fota,NA,NA
96,mwaro,kibumbu,BDI,DTP3,Burundi,79.936748,NA,in WHO but not shpfile,NA,kibumbu,NA,NA
97,bubanza,gihanga,NA,DTP3,Burundi,NA,10587,in shpfile but not WHO,NA,NA,NA,gihanga
98,bubanza,musigati,NA,DTP3,Burundi,NA,10589,in shpfile but not WHO,NA,NA,NA,musigati
99,bubanza,rugazi,NA,DTP3,Burundi,NA,10590,in shpfile but not WHO,NA,NA,NA,rugazi
100,bujumburamairie,buterere,NA,DTP3,Burundi,NA,10591,in shpfile but not WHO,NA,NA,NA,buterere
101,bujumburamairie,buyenze,NA,DTP3,Burundi,NA,10592,in shpfile but not WHO,NA,NA,NA,buyenze
102,bujumburamairie,bwiza,NA,DTP3,Burundi,NA,10593,in shpfile but not WHO,NA,NA,NA,bwiza
103,bujumburamairie,cibitoke,NA,DTP3,Burundi,NA,10594,in shpfile but not WHO,NA,NA,NA,cibitoke
104,bujumburamairie,gihosha,NA,DTP3,Burundi,NA,10595,in shpfile but not WHO,NA,NA,NA,gihosha
105,bujumburamairie,kamenge,NA,DTP3,Burundi,NA,10596,in shpfile but not WHO,NA,NA,NA,kamenge
106,bujumburamairie,kanyosha2,NA,DTP3,Burundi,NA,10597,in shpfile but not WHO,NA,NA,NA,kanyosha2
107,bujumburamairie,kinama,NA,DTP3,Burundi,NA,10598,in shpfile but not WHO,NA,NA,NA,kinama
108,bujumburamairie,kinindo,NA,DTP3,Burundi,NA,10599,in shpfile but not WHO,NA,NA,NA,kinindo
109,bujumburamairie,laketanganyika,NA,DTP3,Burundi,NA,10600,in shpfile but not WHO,NA,NA,NA,laketanganyika
110,bujumburamairie,musaga,NA,DTP3,Burundi,NA,10601,in shpfile but not WHO,NA,NA,NA,musaga
111,bujumburamairie,ngagara,NA,DTP3,Burundi,NA,10602,in shpfile but not WHO,NA,NA,NA,ngagara
112,bujumburamairie,nyakabiga,NA,DTP3,Burundi,NA,10603,in shpfile but not WHO,NA,NA,NA,nyakabiga
113,bujumburamairie,roherero,NA,DTP3,Burundi,NA,10604,in shpfile but not WHO,NA,NA,NA,roherero
114,bujumburarural,bugarama,NA,DTP3,Burundi,NA,10605,in shpfile but not WHO,NA,NA,NA,bugarama
115,bujumburarural,kanyosha1,NA,DTP3,Burundi,NA,10608,in shpfile but not WHO,NA,NA,NA,kanyosha1
116,bujumburarural,laketanganyika,NA,DTP3,Burundi,NA,10609,in shpfile but not WHO,NA,NA,NA,laketanganyika
117,bujumburarural,mubimbi,NA,DTP3,Burundi,NA,10610,in shpfile but not WHO,NA,NA,NA,mubimbi
118,bujumburarural,mugongomanga,NA,DTP3,Burundi,NA,10611,in shpfile but not WHO,NA,NA,NA,mugongomanga
119,bujumburarural,muhuta,NA,DTP3,Burundi,NA,10612,in shpfile but not WHO,NA,NA,NA,muhuta
120,bujumburarural,mukike,NA,DTP3,Burundi,NA,10613,in shpfile but not WHO,NA,NA,NA,mukike
121,bujumburarural,mutambu,NA,DTP3,Burundi,NA,10614,in shpfile but not WHO,NA,NA,NA,mutambu
122,bujumburarural,mutimbuzi,NA,DTP3,Burundi,NA,10615,in shpfile but not WHO,NA,NA,NA,mutimbuzi
123,bujumburarural,nyabiraba,NA,DTP3,Burundi,NA,10616,in shpfile but not WHO,NA,NA,NA,nyabiraba
124,bururi,burambi,NA,DTP3,Burundi,NA,10617,in shpfile but not WHO,NA,NA,NA,burambi
125,bururi,buyengero,NA,DTP3,Burundi,NA,10619,in shpfile but not WHO,NA,NA,NA,buyengero
126,bururi,laketanganyika,NA,DTP3,Burundi,NA,10620,in shpfile but not WHO,NA,NA,NA,laketanganyika
127,bururi,mugamba,NA,DTP3,Burundi,NA,10622,in shpfile but not WHO,NA,NA,NA,mugamba
128,bururi,rumonge,NA,DTP3,Burundi,NA,10623,in shpfile but not WHO,NA,NA,NA,rumonge
129,bururi,rutovu,NA,DTP3,Burundi,NA,10624,in shpfile but not WHO,NA,NA,NA,rutovu
130,bururi,songa,NA,DTP3,Burundi,NA,10625,in shpfile but not WHO,NA,NA,NA,songa
131,bururi,vyanda,NA,DTP3,Burundi,NA,10626,in shpfile but not WHO,NA,NA,NA,vyanda
132,cankuzo,cendajuru,NA,DTP3,Burundi,NA,10628,in shpfile but not WHO,NA,NA,NA,cendajuru
133,cankuzo,gisagara,NA,DTP3,Burundi,NA,10629,in shpfile but not WHO,NA,NA,NA,gisagara
134,cankuzo,kigamba,NA,DTP3,Burundi,NA,10630,in shpfile but not WHO,NA,NA,NA,kigamba
135,cankuzo,mishiha,NA,DTP3,Burundi,NA,10631,in shpfile but not WHO,NA,NA,NA,mishiha
136,cibitoke,buganda,NA,DTP3,Burundi,NA,10632,in shpfile but not WHO,NA,NA,NA,buganda
137,cibitoke,bukinanyana,NA,DTP3,Burundi,NA,10633,in shpfile but not WHO,NA,NA,NA,bukinanyana
138,cibitoke,mugina,NA,DTP3,Burundi,NA,10635,in shpfile but not WHO,NA,NA,NA,mugina
139,cibitoke,murwi,NA,DTP3,Burundi,NA,10636,in shpfile but not WHO,NA,NA,NA,murwi
140,cibitoke,rugombo,NA,DTP3,Burundi,NA,10637,in shpfile but not WHO,NA,NA,NA,rugombo
141,gitega,bugendana,NA,DTP3,Burundi,NA,10638,in shpfile but not WHO,NA,NA,NA,bugendana
142,gitega,bukirasazi,NA,DTP3,Burundi,NA,10639,in shpfile but not WHO,NA,NA,NA,bukirasazi
143,gitega,buraza,NA,DTP3,Burundi,NA,10640,in shpfile but not WHO,NA,NA,NA,buraza
144,gitega,giheta,NA,DTP3,Burundi,NA,10641,in shpfile but not WHO,NA,NA,NA,giheta
145,gitega,gishubi,NA,DTP3,Burundi,NA,10642,in shpfile but not WHO,NA,NA,NA,gishubi
146,gitega,itaba,NA,DTP3,Burundi,NA,10644,in shpfile but not WHO,NA,NA,NA,itaba
147,gitega,makebuko,NA,DTP3,Burundi,NA,10645,in shpfile but not WHO,NA,NA,NA,makebuko
148,gitega,nyanrusange,NA,DTP3,Burundi,NA,10647,in shpfile but not WHO,NA,NA,NA,nyanrusange
