OBJECTID,WHO_REGION,ISO_2_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,STARTDATE,ENDDATE,ISO_3_CODE,WHO_CODE,ADM3_ALTNA,ADM3_ALTCO,LVL,WHO_STATUS,UN_CODE,UNICEF_REG,CENTER_LON,CENTER_LAT,ADM3_VIZ_N,ADM2_VIZ_N,ADM1_VIZ_N,GUID,ADM2_GUID,ADM1_GUID,ADM0_GUID,NOTES,GlobalID,Shape_Leng,Shape_Area
21,AFRO,LR,BOKOMU,GBARPOLU,GBARPOLU,LIBERIA,LR001003001002000000,LR001003001000000000,LR001003000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-10.16907930000,7.23808357000,Bokomu,Gbarpolu,Gbarpolu,{85AD7849-B7AD-4072-92C5-A8AE2B4EA333},{89E1F760-5834-425B-9E5C-AAA3CEAB09DD},{321E5E4E-2059-475A-9AD7-E5038CE15E18},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{6DA13873-E558-4E37-8A3D-03A98049244A},1.15531537679,0.04834356361
22,AFRO,LR,BOPOLU,GBARPOLU,GBARPOLU,LIBERIA,LR001003001003000000,LR001003001000000000,LR001003000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-10.44100082000,7.16364352000,Bopolu,Gbarpolu,Gbarpolu,{4F41C0AE-0178-41D4-BAFA-F22609CB012B},{89E1F760-5834-425B-9E5C-AAA3CEAB09DD},{321E5E4E-2059-475A-9AD7-E5038CE15E18},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{9826803B-ACF2-4107-A763-85E234718B33},2.70593513012,0.18809145912
23,AFRO,LR,GBARMA,GBARPOLU,GBARPOLU,LIBERIA,LR001003001004000000,LR001003001000000000,LR001003000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-10.65201105000,7.16541838000,Gbarma,Gbarpolu,Gbarpolu,{19C2F29E-F233-4197-8DE6-E1009E556A19},{89E1F760-5834-425B-9E5C-AAA3CEAB09DD},{321E5E4E-2059-475A-9AD7-E5038CE15E18},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{E2ABBC1E-B0E1-43D3-9450-EAA124142FCC},1.81345230302,0.06871205400
24,AFRO,LR,GOUNWOLAILA,GBARPOLU,GBARPOLU,LIBERIA,LR001003001005000000,LR001003001000000000,LR001003000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-9.94671038000,7.22009891000,Gounwolaila,Gbarpolu,Gbarpolu,{65513B3A-0D83-4658-9C09-6176D7D59B75},{89E1F760-5834-425B-9E5C-AAA3CEAB09DD},{321E5E4E-2059-475A-9AD7-E5038CE15E18},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{CE675E03-B650-4942-827B-F784DBBF9924},1.28939474770,0.05893985523
25,AFRO,LR,KONGBA,GBARPOLU,GBARPOLU,LIBERIA,LR001003001006000000,LR001003001000000000,LR001003000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-10.50340875000,7.66937308000,Kongba,Gbarpolu,Gbarpolu,{65B51B50-B390-44EB-BAD4-0B51AFA0B9AF},{89E1F760-5834-425B-9E5C-AAA3CEAB09DD},{321E5E4E-2059-475A-9AD7-E5038CE15E18},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{CAEE113D-A04E-4CC1-AEA1-0EE679552C2F},2.64275516354,0.24608070505
26,AFRO,LR,COMMONWEALTH,GRAND BASSA,GRAND BASSA,LIBERIA,LR001004001001000000,LR001004001000000000,LR001004000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-10.04082175000,5.87810787000,Commonwealth,Grand Bassa,Grand Bassa,{E38000E2-9BA3-48E4-8168-A5ADF72752D7},{2661EC85-877D-4855-B1E7-A6D183A708D1},{1C4FF96F-7964-40A4-A6CD-8E64F59A52E7},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{F1BEE697-7CA4-436F-8F79-891C02AFFF6D},0.23962337977,0.00163657263
27,AFRO,LR,DISTRICT # 1,GRAND BASSA,GRAND BASSA,LIBERIA,LR001004001002000000,LR001004001000000000,LR001004000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-10.16278193000,6.27817332000,District 1,Grand Bassa,Grand Bassa,{38814603-404E-495D-B6AD-4830F8BDCD68},{2661EC85-877D-4855-B1E7-A6D183A708D1},{1C4FF96F-7964-40A4-A6CD-8E64F59A52E7},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},ADM3_VIZ_NAME: Updated Duplicate Number,{A44B4F30-1E0A-4A14-BBB4-7D4BE62AC70B},2.32876767508,0.09539600370
28,AFRO,LR,DISTRICT # 2,GRAND BASSA,GRAND BASSA,LIBERIA,LR001004001003000000,LR001004001000000000,LR001004000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-9.84709196000,6.42112388000,District 2,Grand Bassa,Grand Bassa,{242AE679-4A0B-4DEF-99D6-711CDFA43DB8},{2661EC85-877D-4855-B1E7-A6D183A708D1},{1C4FF96F-7964-40A4-A6CD-8E64F59A52E7},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},ADM3_VIZ_NAME: Updated Duplicate Number,{8502208C-D689-43DE-BFBC-B32D583A4921},2.19288237485,0.15337800392
29,AFRO,LR,DISTRICT # 3,GRAND BASSA,GRAND BASSA,LIBERIA,LR001004001004000000,LR001004001000000000,LR001004000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-9.51569321000,6.34261564000,District 3,Grand Bassa,Grand Bassa,{51C6B9BF-B03F-410F-8417-3A671C357CB2},{2661EC85-877D-4855-B1E7-A6D183A708D1},{1C4FF96F-7964-40A4-A6CD-8E64F59A52E7},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},ADM3_VIZ_NAME: Updated Duplicate Number,{25ABA755-2062-4070-88DC-C678FA340867},2.76811319352,0.18627159133
30,AFRO,LR,DISTRICT # 4,GRAND BASSA,GRAND BASSA,LIBERIA,LR001004001005000000,LR001004001000000000,LR001004000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-9.73283013000,5.88433651000,District 4,Grand Bassa,Grand Bassa,{2D69FCA4-B90E-4EB5-95ED-5668465823E5},{2661EC85-877D-4855-B1E7-A6D183A708D1},{1C4FF96F-7964-40A4-A6CD-8E64F59A52E7},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},ADM3_VIZ_NAME: Updated Duplicate Number,{685671D7-BD08-4804-8E71-A6A9D13B6616},2.50398125543,0.10236962019
31,AFRO,LR,NEEKREEN,GRAND BASSA,GRAND BASSA,LIBERIA,LR001004001006000000,LR001004001000000000,LR001004000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-9.92576531000,5.93075203000,Neekreen,Grand Bassa,Grand Bassa,{1E0EC030-2B7F-452D-9279-EC5709E535C6},{2661EC85-877D-4855-B1E7-A6D183A708D1},{1C4FF96F-7964-40A4-A6CD-8E64F59A52E7},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{1D150521-95AD-4148-9539-63A1C23B4071},1.18433412724,0.04282702860
32,AFRO,LR,OWENSGROVE,GRAND BASSA,GRAND BASSA,LIBERIA,LR001004001007000000,LR001004001000000000,LR001004000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-10.28419532000,6.19238626000,Owensgrove,Grand Bassa,Grand Bassa,{AE386731-0C51-460F-803A-3BA0244BF365},{2661EC85-877D-4855-B1E7-A6D183A708D1},{1C4FF96F-7964-40A4-A6CD-8E64F59A52E7},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{37032BD4-94F1-4994-B6C7-A3701853F9A6},0.77508563038,0.02395358959
33,AFRO,LR,ST. JOHN RIVER CITY,GRAND BASSA,GRAND BASSA,LIBERIA,LR001004001008000000,LR001004001000000000,LR001004000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-10.02046447000,6.05162451000,Saint John River City,Grand Bassa,Grand Bassa,{B1693150-B4D7-44ED-83A0-B53D5CCBA123},{2661EC85-877D-4855-B1E7-A6D183A708D1},{1C4FF96F-7964-40A4-A6CD-8E64F59A52E7},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},ADM3_VIZ_NAME: Changed St. to Saint,{7E8B2EA0-9A09-4023-BD9F-7171C123D73C},0.99179327583,0.03549985733
34,AFRO,LR,COMMONWEALTH,GRAND CAPE MOUNT,GRAND CAPE MOUNT,LIBERIA,LR001005001001000000,LR001005001000000000,LR001005000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-11.26973560000,6.72993020000,Commonwealth,Grand Cape Mount,Grand Cape Mount,{F43FBB5B-8C84-45D1-B2C7-76F52C0B2DE7},{ECBFB081-DE79-491D-BC27-FF4CE72E0ACC},{91E22D53-5BE2-440B-99D7-20FECF62A4F2},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{F91F14CB-8549-4375-B678-7412502D423E},1.13876233677,0.01640481793
35,AFRO,LR,GARWULA,GRAND CAPE MOUNT,GRAND CAPE MOUNT,LIBERIA,LR001005001002000000,LR001005001000000000,LR001005000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-11.12786451000,6.80270203000,Garwula,Grand Cape Mount,Grand Cape Mount,{98BB0FD5-4838-4181-B29C-768382AD1940},{ECBFB081-DE79-491D-BC27-FF4CE72E0ACC},{91E22D53-5BE2-440B-99D7-20FECF62A4F2},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{711D8653-37C6-495C-9A56-459EDCB8F5CE},1.32806534739,0.06646275469
36,AFRO,LR,GOLAKONNEH,GRAND CAPE MOUNT,GRAND CAPE MOUNT,LIBERIA,LR001005001003000000,LR001005001000000000,LR001005000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-10.88847122000,7.15539589000,Golakonneh,Grand Cape Mount,Grand Cape Mount,{3A80E54A-CADB-4EDA-8EBD-78EB703C44DC},{ECBFB081-DE79-491D-BC27-FF4CE72E0ACC},{91E22D53-5BE2-440B-99D7-20FECF62A4F2},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{E5FD8F3F-42AF-4BEE-A7FA-B8CF6BBD3E5A},2.32409519035,0.14720371217
37,AFRO,LR,PORKPA,GRAND CAPE MOUNT,GRAND CAPE MOUNT,LIBERIA,LR001005001004000000,LR001005001000000000,LR001005000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-11.04427392000,7.29895363000,Porkpa,Grand Cape Mount,Grand Cape Mount,{02948A15-7699-454D-BF3D-046C5A5514E6},{ECBFB081-DE79-491D-BC27-FF4CE72E0ACC},{91E22D53-5BE2-440B-99D7-20FECF62A4F2},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{3FEB6D0E-ED70-4315-BC92-F0E5E7632C1B},1.80253410178,0.10313464461
38,AFRO,LR,TEWOR,GRAND CAPE MOUNT,GRAND CAPE MOUNT,LIBERIA,LR001005001005000000,LR001005001000000000,LR001005000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-11.31535181000,6.96243935000,Tewor,Grand Cape Mount,Grand Cape Mount,{D73797A6-D920-4580-AF27-7912D2996263},{ECBFB081-DE79-491D-BC27-FF4CE72E0ACC},{91E22D53-5BE2-440B-99D7-20FECF62A4F2},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{9425E027-E50B-407A-8964-1A17A96D2661},1.40966290166,0.05122818787
39,AFRO,LR,B'HAI,GRAND GEDEH,GRAND GEDEH,LIBERIA,LR001006001001000000,LR001006001000000000,LR001006000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-8.52147627000,6.36612888000,B'hai,Grand Gedeh,Grand Gedeh,{9F8FFEC2-8D96-478C-BA55-2E3133B1DCB1},{1ACFF5CE-8BE8-41AD-8B75-23006FA2D9E8},{F2A8E625-1954-4416-81E4-F9D5D8F25E6F},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{7C6D541C-9D4A-4E59-8033-D429774E60C4},1.06291444221,0.05009038942
40,AFRO,LR,CAVALA,GRAND GEDEH,GRAND GEDEH,LIBERIA,LR001006001002000000,LR001006001000000000,LR001006000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-8.22498749000,6.11469751000,Cavala,Grand Gedeh,Grand Gedeh,{83EE86F5-7F5E-43F1-9E5D-C717C35C64E0},{1ACFF5CE-8BE8-41AD-8B75-23006FA2D9E8},{F2A8E625-1954-4416-81E4-F9D5D8F25E6F},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{9360B7ED-E03D-4B1D-9AAE-21B83191647F},2.21647683817,0.10322883786
41,AFRO,LR,GBAO,GRAND GEDEH,GRAND GEDEH,LIBERIA,LR001006001003000000,LR001006001000000000,LR001006000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-8.50863225000,6.03872229000,Gbao,Grand Gedeh,Grand Gedeh,{9438EBD7-7124-42B2-82F7-3B6E330947FA},{1ACFF5CE-8BE8-41AD-8B75-23006FA2D9E8},{F2A8E625-1954-4416-81E4-F9D5D8F25E6F},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{16749636-DF3B-46D3-A21C-AA294DE61CEA},1.94942648050,0.14345660477
42,AFRO,LR,GBOE-PLOE,GRAND GEDEH,GRAND GEDEH,LIBERIA,LR001006001004000000,LR001006001000000000,LR001006000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-8.78328885000,5.97962131000,Gboe-Ploe,Grand Gedeh,Grand Gedeh,{BDE47E40-FFAC-4788-90AC-47DC2D26828A},{1ACFF5CE-8BE8-41AD-8B75-23006FA2D9E8},{F2A8E625-1954-4416-81E4-F9D5D8F25E6F},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{618A5827-15EF-4164-A63B-D12097FAA22C},2.57965761367,0.13476578020
