ADM1_CODE,ADM1_NAME,ADM0_CODE,ADM0_NAME,GAUL_CODE,ISO
59190,Ryazan',190,Russia,59190,RUS
60190,Sakha,190,Russia,60190,RUS
61190,Sakhalin,190,Russia,61190,RUS
62190,Samara,190,Russia,62190,RUS
63190,Saratov,190,Russia,63190,RUS
64190,Smolensk,190,Russia,64190,RUS
65190,Stavropol',190,Russia,65190,RUS
66190,Sverdlovsk,190,Russia,66190,RUS
67190,Tambov,190,Russia,67190,RUS
68190,Tatarstan,190,Russia,68190,RUS
69190,Tomsk,190,Russia,69190,RUS
70190,Tula,190,Russia,70190,RUS
71190,Tuva,190,Russia,71190,RUS
72190,Tver',190,Russia,72190,RUS
73190,Tyumen',190,Russia,73190,RUS
74190,Udmurt,190,Russia,74190,RUS
75190,Ul'yanovsk,190,Russia,75190,RUS
76190,Vladimir,190,Russia,76190,RUS
77190,Volgograd,190,Russia,77190,RUS
78190,Vologda,190,Russia,78190,RUS
79190,Voronezh,190,Russia,79190,RUS
80190,Yamal-Nenets,190,Russia,80190,RUS
81190,Yaroslavl',190,Russia,81190,RUS
82190,Yevrey,190,Russia,82190,RUS
83190,Zabaykal'ye,190,Russia,83190,RUS
1191,Amajyaruguru,191,Rwanda,1191,RWA
2191,Amajyepfo,191,Rwanda,2191,RWA
3191,Iburasirazuba,191,Rwanda,3191,RWA
4191,Iburengerazuba,191,Rwanda,4191,RWA
5191,Umujyi wa Kigali,191,Rwanda,5191,RWA
1192,`Asir,192,Saudi Arabia,1192,SAU
2192,Al Bahah,192,Saudi Arabia,2192,SAU
3192,Al Hudud ash Shamaliyah,192,Saudi Arabia,3192,SAU
4192,Al Jawf,192,Saudi Arabia,4192,SAU
5192,Al Madinah,192,Saudi Arabia,5192,SAU
6192,Al Quassim,192,Saudi Arabia,6192,SAU
7192,Ar Riyad,192,Saudi Arabia,7192,SAU
8192,Ash Sharqiyah,192,Saudi Arabia,8192,SAU
9192,Ha'il,192,Saudi Arabia,9192,SAU
10192,Jizan,192,Saudi Arabia,10192,SAU
11192,Makkah,192,Saudi Arabia,11192,SAU
12192,Najran,192,Saudi Arabia,12192,SAU
13192,Tabuk,192,Saudi Arabia,13192,SAU
1193,Al Jazirah,193,Sudan,1193,SDN
2193,Al Qadarif,193,Sudan,2193,SDN
3193,Blue Nile,193,Sudan,3193,SDN
4193,Central Darfur,193,Sudan,4193,SDN
5193,East Darfur,193,Sudan,5193,SDN
6193,Kassala,193,Sudan,6193,SDN
7193,Khartoum,193,Sudan,7193,SDN
8193,North Darfur,193,Sudan,8193,SDN
9193,North Kurdufan,193,Sudan,9193,SDN
10193,Northern,193,Sudan,10193,SDN
11193,Red Sea,193,Sudan,11193,SDN
12193,River Nile,193,Sudan,12193,SDN
13193,Sennar,193,Sudan,13193,SDN
14193,South Darfur,193,Sudan,14193,SDN
15193,South Kurdufan,193,Sudan,15193,SDN
16193,West Darfur,193,Sudan,16193,SDN
17193,West Kurdufan,193,Sudan,17193,SDN
18193,White Nile,193,Sudan,18193,SDN
1194,Dakar,194,Senegal,1194,SEN
2194,Diourbel,194,Senegal,2194,SEN
3194,Fatick,194,Senegal,3194,SEN
4194,Kaffrine,194,Senegal,4194,SEN
5194,Kaolack,194,Senegal,5194,SEN
6194,K??dougou,194,Senegal,6194,SEN
7194,Kolda,194,Senegal,7194,SEN
8194,Louga,194,Senegal,8194,SEN
9194,Matam,194,Senegal,9194,SEN
10194,Saint-Louis,194,Senegal,10194,SEN
11194,S??dhiou,194,Senegal,11194,SEN
12194,Tambacounda,194,Senegal,12194,SEN
13194,Thi?¿s,194,Senegal,13194,SEN
14194,Ziguinchor,194,Senegal,14194,SEN
1195,Central,195,Singapore,1195,SGP
2195,East,195,Singapore,2195,SGP
3195,North,195,Singapore,3195,SGP
4195,North-East,195,Singapore,4195,SGP
5195,West,195,Singapore,5195,SGP
1197,Ascension,197,Saint Helena,1197,SHN
2197,Saint Helena,197,Saint Helena,2197,SHN
3197,Tristan da Cunha,197,Saint Helena,3197,SHN
1198,Jan Mayen,198,Svalbard and Jan Mayen,1198,SJM
2198,Svalbard,198,Svalbard and Jan Mayen,2198,SJM
1199,Central,199,Solomon Islands,1199,SLB
2199,Choiseul,199,Solomon Islands,2199,SLB
3199,Guadalcanal,199,Solomon Islands,3199,SLB
4199,Honiara,199,Solomon Islands,4199,SLB
5199,Isabel,199,Solomon Islands,5199,SLB
6199,Makira Ulawa,199,Solomon Islands,6199,SLB
7199,Malaita,199,Solomon Islands,7199,SLB
8199,Rennell and Bellona,199,Solomon Islands,8199,SLB
9199,Temotu,199,Solomon Islands,9199,SLB
10199,Western,199,Solomon Islands,10199,SLB
1200,Eastern,200,Sierra Leone,1200,SLE
2200,Northern,200,Sierra Leone,2200,SLE
3200,Southern,200,Sierra Leone,3200,SLE
4200,Western,200,Sierra Leone,4200,SLE
1201,Ahuachap?ín,201,El Salvador,1201,SLV
2201,Caba??as,201,El Salvador,2201,SLV
3201,Chalatenango,201,El Salvador,3201,SLV
4201,Cuscatl?ín,201,El Salvador,4201,SLV
5201,La Libertad,201,El Salvador,5201,SLV
6201,La Paz,201,El Salvador,6201,SLV
7201,La Uni??n,201,El Salvador,7201,SLV
8201,Moraz?ín,201,El Salvador,8201,SLV
9201,San Miguel,201,El Salvador,9201,SLV
10201,San Salvador,201,El Salvador,10201,SLV
11201,San Vicente,201,El Salvador,11201,SLV
12201,Santa Ana,201,El Salvador,12201,SLV
13201,Sonsonate,201,El Salvador,13201,SLV
14201,Usulut?ín,201,El Salvador,14201,SLV
1202,Acquaviva,202,San Marino,1202,SMR
2202,Borgo Maggiore,202,San Marino,2202,SMR
3202,Chiesanuova,202,San Marino,3202,SMR
4202,Domagnano,202,San Marino,4202,SMR
5202,Faetano,202,San Marino,5202,SMR
6202,Fiorentino,202,San Marino,6202,SMR
7202,Montegiardino,202,San Marino,7202,SMR
8202,San Marino,202,San Marino,8202,SMR
9202,Serravalle,202,San Marino,9202,SMR
1203,Awdal,203,Somalia,1203,SOM
2203,Bakool,203,Somalia,2203,SOM
3203,Banaadir,203,Somalia,3203,SOM
4203,Bari,203,Somalia,4203,SOM
5203,Bay,203,Somalia,5203,SOM
6203,Galguduud,203,Somalia,6203,SOM
7203,Gedo,203,Somalia,7203,SOM
8203,Hiiraan,203,Somalia,8203,SOM
9203,Jubbada Dhexe,203,Somalia,9203,SOM
10203,Jubbada Hoose,203,Somalia,10203,SOM
11203,Mudug,203,Somalia,11203,SOM
12203,Nugaal,203,Somalia,12203,SOM
13203,Sanaag,203,Somalia,13203,SOM
14203,Shabeellaha Dhexe,203,Somalia,14203,SOM
15203,Shabeellaha Hoose,203,Somalia,15203,SOM
16203,Sool,203,Somalia,16203,SOM
17203,Togdheer,203,Somalia,17203,SOM
18203,Woqooyi Galbeed,203,Somalia,18203,SOM
1204,Miquelon-Langlade,204,Saint Pierre and Miquelon,1204,SPM
2204,Saint-Pierre,204,Saint Pierre and Miquelon,2204,SPM
1205,Borski,205,Serbia,1205,SRB
2205,Brani?ìevski,205,Serbia,2205,SRB
3205,Grad Beograd,205,Serbia,3205,SRB
4205,Jablani?ìki,205,Serbia,4205,SRB
5205,Ju??no-Ba?ìki,205,Serbia,5205,SRB
6205,Ju??no-Banatski,205,Serbia,6205,SRB
7205,Kolubarski,205,Serbia,7205,SRB
8205,Ma?ìvanski,205,Serbia,8205,SRB
9205,Moravi?ìki,205,Serbia,9205,SRB
10205,Ni?íavski,205,Serbia,10205,SRB
11205,P?ìinjski,205,Serbia,11205,SRB
12205,Pirotski,205,Serbia,12205,SRB
13205,Podunavski,205,Serbia,13205,SRB
14205,Pomoravski,205,Serbia,14205,SRB
15205,Rasinski,205,Serbia,15205,SRB
16205,Ra?íki,205,Serbia,16205,SRB
17205,Severno-Ba?ìki,205,Serbia,17205,SRB
18205,Severno-Banatski,205,Serbia,18205,SRB
19205,Srednje-Banatski,205,Serbia,19205,SRB
20205,Sremski,205,Serbia,20205,SRB
21205,?áumadijski,205,Serbia,21205,SRB
22205,Topli?ìki,205,Serbia,22205,SRB
23205,Zaje?ìarski,205,Serbia,23205,SRB
24205,Zapadno-Ba?ìki,205,Serbia,24205,SRB
25205,Zlatiborski,205,Serbia,25205,SRB
1206,Central Equatoria,206,South Sudan,1206,SSD
2206,Eastern Equatoria,206,South Sudan,2206,SSD
3206,Jungoli,206,South Sudan,3206,SSD
4206,Lakes,206,South Sudan,4206,SSD
5206,North Bahr-al-Ghazal,206,South Sudan,5206,SSD
6206,Unity,206,South Sudan,6206,SSD
7206,Upper Nile,206,South Sudan,7206,SSD
8206,Warap,206,South Sudan,8206,SSD
9206,West Bahr-al-Ghazal,206,South Sudan,9206,SSD
10206,West Equatoria,206,South Sudan,10206,SSD
1207,Pr?¡ncipe,207,Sao Tome and Principe,1207,STP
2207,S?úo Tom??,207,Sao Tome and Principe,2207,STP
1208,Brokopondo,208,Suriname,1208,SUR
2208,Commewijne,208,Suriname,2208,SUR
3208,Coronie,208,Suriname,3208,SUR
4208,Marowijne,208,Suriname,4208,SUR
5208,Nickerie,208,Suriname,5208,SUR
6208,Para,208,Suriname,6208,SUR
7208,Paramaribo,208,Suriname,7208,SUR
8208,Saramacca,208,Suriname,8208,SUR
9208,Sipaliwini,208,Suriname,9208,SUR
10208,Wanica,208,Suriname,10208,SUR
1209,Banskobystrick??,209,Slovakia,1209,SVK
2209,Bratislavsk??,209,Slovakia,2209,SVK
3209,Ko?íick??,209,Slovakia,3209,SVK
4209,Nitriansky,209,Slovakia,4209,SVK
5209,Pre?íovsk??,209,Slovakia,5209,SVK
6209,Tren?ìiansky,209,Slovakia,6209,SVK
7209,Trnavsk??,209,Slovakia,7209,SVK
8209,??ilinsk??,209,Slovakia,8209,SVK
1210,Gorenjska,210,Slovenia,1210,SVN
2210,Gori?íka,210,Slovenia,2210,SVN
3210,Jugovzhodna Slovenija,210,Slovenia,3210,SVN
4210,Koro?íka,210,Slovenia,4210,SVN
5210,Notranjsko-kra?íka,210,Slovenia,5210,SVN
6210,Obalno-kra?íka,210,Slovenia,6210,SVN
7210,Osrednjeslovenska,210,Slovenia,7210,SVN
8210,Podravska,210,Slovenia,8210,SVN
9210,Pomurska,210,Slovenia,9210,SVN
10210,Savinjska,210,Slovenia,10210,SVN
11210,Spodnjeposavska,210,Slovenia,11210,SVN
12210,Zasavska,210,Slovenia,12210,SVN
1211,Blekinge,211,Sweden,1211,SWE
2211,Dalarna,211,Sweden,2211,SWE
3211,G?ñvleborg,211,Sweden,3211,SWE
4211,Gotland,211,Sweden,4211,SWE
5211,Halland,211,Sweden,5211,SWE
6211,J?ñmtland,211,Sweden,6211,SWE
7211,J??nk??ping,211,Sweden,7211,SWE
8211,Kalmar,211,Sweden,8211,SWE
9211,Kronoberg,211,Sweden,9211,SWE
10211,Norrbotten,211,Sweden,10211,SWE
11211,Orebro,211,Sweden,11211,SWE
12211,?ûsterg??tland,211,Sweden,12211,SWE
13211,Sk?Ñne,211,Sweden,13211,SWE
