,V1,ADM1_NAME,ADM2_NAME,iso3,ADM0_NAME.x,year,vaccine,GAUL_CODE,merge_status,ADM1_NAME.who,ADM1_NAME.shpfile,ADM2_NAME.who,ADM2_NAME.shpfile,who_coverage,Note,V16,V17,V18,V19
117,117,NA,NA,AGO,Angola,2016,NA,1904,fuzzy success,bie,bi,chitembo,chitembo,70,,NA,NA,NA,NA
118,118,NA,NA,AGO,Angola,2016,NA,1905,fuzzy success,bie,bi,cuemba,cuemba,79,,NA,NA,NA,NA
119,119,NA,NA,AGO,Angola,2016,NA,1907,fuzzy success,bie,bi,cuito,kuito,69,,NA,NA,NA,NA
120,120,NA,NA,AGO,Angola,2016,NA,1906,fuzzy success,bie,bi,cunhinga,cunhinga,100,,NA,NA,NA,NA
121,121,NA,NA,AGO,Angola,2016,NA,1908,fuzzy success,bie,bi,nharea,nharea,71,,NA,NA,NA,NA
122,122,NA,NA,AGO,Angola,2016,NA,1953,need change,cabinda,hula,cacongo,caconda,108,change,NA,NA,NA,NA
123,123,NA,NA,AGO,Angola,2016,NA,1931,fuzzy success,cuanzanorte,cuanzanorte,gonguembo,ngonguembo,54,,NA,NA,NA,NA
124,124,NA,NA,AGO,Angola,2016,NA,1934,fuzzy success,cuanzanorte,cuanzanorte,sambacaju,sambacaj,42,,NA,NA,NA,NA
125,125,NA,NA,AGO,Angola,2016,NA,1967,need change,cuanzasul,huambo,cela,caila,45,change,NA,NA,NA,NA
126,126,NA,NA,AGO,Angola,2016,NA,1951,fuzzy success,cunene,cunene,namacunde,namakunde,28,,NA,NA,NA,NA
127,127,NA,NA,AGO,Angola,2016,NA,1969,fuzzy success,huambo,huambo,ecunha,ekunha,113,,NA,NA,NA,NA
128,128,NA,NA,AGO,Angola,2016,NA,1975,fuzzy success,huambo,huambo,tchinjenje,tchindjenje,102,,NA,NA,NA,NA
129,129,NA,NA,AGO,Angola,2016,NA,1954,fuzzy success,huila,hula,caluquembe,caluquembe,86,,NA,NA,NA,NA
130,130,NA,NA,AGO,Angola,2016,NA,1955,fuzzy success,huila,hula,chibia,chibia,96,,NA,NA,NA,NA
131,131,NA,NA,AGO,Angola,2016,NA,1956,fuzzy success,huila,hula,chicomba,chicomba,108,,NA,NA,NA,NA
132,132,NA,NA,AGO,Angola,2016,NA,1957,fuzzy success,huila,hula,chipindo,chipindo,97,,NA,NA,NA,NA
133,133,NA,NA,AGO,Angola,2016,NA,1959,fuzzy success,huila,hula,humpata,humpata,91,,NA,NA,NA,NA
134,134,NA,NA,AGO,Angola,2016,NA,1963,fuzzy success,huila,hula,matala,matala,80,,NA,NA,NA,NA
135,135,NA,NA,AGO,Angola,2016,NA,1964,fuzzy success,huila,hula,quilengues,quilengues,118,,NA,NA,NA,NA
136,136,NA,NA,AGO,Angola,2016,NA,1888,fuzzy success,luanda,bengo,icoloebengo,icoloebengo,83,,NA,NA,NA,NA
137,137,NA,NA,AGO,Angola,2016,NA,1994,fuzzy success,lundanorte,lundanorte,xamuteba,ximuteba,80,,NA,NA,NA,NA
138,138,NA,NA,AGO,Angola,2016,NA,1999,fuzzy success,malanje,malanje,cacuso,cacuzo,82,,NA,NA,NA,NA
139,139,NA,NA,AGO,Angola,2016,NA,2003,fuzzy success,malanje,malanje,cahombo,caombo,77,,NA,NA,NA,NA
140,140,NA,NA,AGO,Angola,2016,NA,2005,fuzzy success,malanje,malanje,cundadiabaze,cundadiabaza,6,,NA,NA,NA,NA
141,141,NA,NA,AGO,Angola,2016,NA,2016,fuzzy success,moxico,moxico,leua,lua,149,,NA,NA,NA,NA
142,142,NA,NA,AGO,Angola,2016,NA,2018,fuzzy success,moxico,moxico,luacano,lucano,263,,NA,NA,NA,NA
143,143,NA,NA,AGO,Angola,2016,NA,2023,fuzzy success,namibe,namibe,camucuio,camacuio,74,,NA,NA,NA,NA
144,144,NA,NA,AGO,Angola,2016,NA,2025,fuzzy success,namibe,namibe,tombua,tombwa,76,,NA,NA,NA,NA
145,145,NA,NA,AGO,Angola,2016,NA,2028,fuzzy success,uige,uge,ambuila,ambuila,104,,NA,NA,NA,NA
146,146,NA,NA,AGO,Angola,2016,NA,2029,fuzzy success,uige,uge,bembe,bembe,98,,NA,NA,NA,NA
147,147,NA,NA,AGO,Angola,2016,NA,2030,fuzzy success,uige,uge,buengas,buengas,94,,NA,NA,NA,NA
148,148,NA,NA,AGO,Angola,2016,NA,2033,fuzzy success,uige,uge,maqueladozombo,maqueladozombo,98,,NA,NA,NA,NA
149,149,NA,NA,AGO,Angola,2016,NA,2034,fuzzy success,uige,uge,milunga,milunga,89,,NA,NA,NA,NA
150,150,NA,NA,AGO,Angola,2016,NA,2036,fuzzy success,uige,uge,negage,negage,111,,NA,NA,NA,NA
151,151,NA,NA,AGO,Angola,2016,NA,2037,fuzzy success,uige,uge,puri,puri,99,,NA,NA,NA,NA
152,152,NA,NA,AGO,Angola,2016,NA,2038,fuzzy success,uige,uge,quimbele,quimbele,56,,NA,NA,NA,NA
153,153,NA,NA,AGO,Angola,2016,NA,2039,fuzzy success,uige,uge,quitexe,quitexe,71,,NA,NA,NA,NA
154,154,NA,NA,AGO,Angola,2016,NA,2040,fuzzy success,uige,uge,sanzapombo,sanzapombo,81,,NA,NA,NA,NA
155,155,NA,NA,AGO,Angola,2016,NA,2042,fuzzy success,uige,uge,uige,uge,111,,NA,NA,NA,NA
156,156,bengo,dembosquibaxe,AGO,Angola,2016,DTP3,NA,in WHO but not shpfile,NA,NA,dembosquibaxe,NA,60,,NA,NA,NA,NA
157,157,benguela,catumbela,AGO,Angola,2016,DTP3,NA,in WHO but not shpfile,NA,NA,catumbela,NA,85,,NA,NA,NA,NA
158,158,huambo,tchikalatcholohang,AGO,Angola,2016,DTP3,1974,manually match,NA,NA,tchikalatcholohang,tchicalatcholoanga,97,manual add,NA,NA,NA,NA
159,159,huila,quipungo,AGO,Angola,2016,DTP3,1965,in WHO but not shpfile,NA,NA,quipungo,tchipungo,82,,NA,NA,NA,NA
160,160,luanda,belas,AGO,Angola,2016,DTP3,NA,in WHO but not shpfile,NA,NA,belas,NA,68,,NA,NA,NA,NA
