OBJECTID,WHO_REGION,ISO_2_CODE,ADM4_NAME,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM4_CODE,ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,STARTDATE,ENDDATE,ISO_3_CODE,WHO_CODE,ADM4_ALTNA,ADM3_ALTCO,LVL,WHO_STATUS,UN_CODE,UNICEF_REG,CENTER_LON,CENTER_LAT,ADM4_VIZ_N,ADM3_VIZ_N,ADM2_VIZ_N,ADM1_VIZ_N,GUID,ADM3_GUID,ADM2_GUID,ADM1_GUID,ADM0_GUID,NOTES,GlobalID,Shape_Leng,Shape_Area
310,AFRO,SL,DAKOWA,DAMA,KENEMA,EASTERN,SIERRA LEONE,SL001001002001001000,SL001001002001000000,SL001001002000000000,SL001001000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-11.10535562000,7.76302891000,Dakowa,Dama,Kenema,Eastern,{8F22D417-7683-4A45-BA53-AD50C223F05B},{AB67A291-8166-4205-A847-EFB30EF3D5C2},{92B77ED9-62C6-4D2C-9199-820F23BD6412},{579A0FB8-7C70-48C1-B8C4-B99C7C5399CB},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{445B24A0-AE09-44DE-B7A7-548B747EFF4F},0.37249206282,0.00635476350
311,AFRO,SL,DANYADEJO,DAMA,KENEMA,EASTERN,SIERRA LEONE,SL001001002001002000,SL001001002001000000,SL001001002000000000,SL001001000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-11.14400269000,7.74641755000,Danyadejo,Dama,Kenema,Eastern,{36DF97E4-3B2E-46C7-898D-0DD1E8B7B3EE},{AB67A291-8166-4205-A847-EFB30EF3D5C2},{92B77ED9-62C6-4D2C-9199-820F23BD6412},{579A0FB8-7C70-48C1-B8C4-B99C7C5399CB},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{B6B1695D-B3B5-451F-AC60-1C65DC517B65},0.43571614754,0.00498065305
312,AFRO,SL,DASSAMA,DAMA,KENEMA,EASTERN,SIERRA LEONE,SL001001002001003000,SL001001002001000000,SL001001002000000000,SL001001000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-11.10268313000,7.84522660000,Dassama,Dama,Kenema,Eastern,{7F8C5DB7-D505-4E1C-9123-18F03435FC84},{AB67A291-8166-4205-A847-EFB30EF3D5C2},{92B77ED9-62C6-4D2C-9199-820F23BD6412},{579A0FB8-7C70-48C1-B8C4-B99C7C5399CB},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{B587B13A-CA99-42DD-B8AC-1EACD9A46529},0.27554266282,0.00410224589
313,AFRO,SL,LOWER DABOR,DAMA,KENEMA,EASTERN,SIERRA LEONE,SL001001002001006000,SL001001002001000000,SL001001002000000000,SL001001000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-11.22060221000,7.68101282000,Lower Dabor,Dama,Kenema,Eastern,{B33AE50A-8210-4A79-A81B-8F088F3A841F},{AB67A291-8166-4205-A847-EFB30EF3D5C2},{92B77ED9-62C6-4D2C-9199-820F23BD6412},{579A0FB8-7C70-48C1-B8C4-B99C7C5399CB},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{BCA8780B-6C8B-4D5E-BB34-C3522202FE95},0.33875320673,0.00618392564
314,AFRO,SL,UPPER DABOR,DAMA,KENEMA,EASTERN,SIERRA LEONE,SL001001002001007000,SL001001002001000000,SL001001002000000000,SL001001000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-11.02925441000,7.84027643000,Upper Dabor,Dama,Kenema,Eastern,{4D5D589D-F76F-4F1A-B16F-546AA020E03A},{AB67A291-8166-4205-A847-EFB30EF3D5C2},{92B77ED9-62C6-4D2C-9199-820F23BD6412},{579A0FB8-7C70-48C1-B8C4-B99C7C5399CB},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{48B348A7-8344-44E1-85EA-8A2AF97B1370},0.24914839742,0.00295541667
315,AFRO,SL,BAMBARA,DODO,KENEMA,EASTERN,SIERRA LEONE,SL001001002002001000,SL001001002002000000,SL001001002000000000,SL001001000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-11.19665971000,8.22317612000,Bambara,Dodo,Kenema,Eastern,{26F391DE-1871-4785-8ED5-7417692090C7},{5201EEB3-83D3-4D58-A3D3-19E95E84A491},{92B77ED9-62C6-4D2C-9199-820F23BD6412},{579A0FB8-7C70-48C1-B8C4-B99C7C5399CB},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{5BC35292-551C-4364-8EAD-BD4BCEEF2AC5},0.23360716334,0.00264301131
316,AFRO,SL,BONYA,DODO,KENEMA,EASTERN,SIERRA LEONE,SL001001002002002000,SL001001002002000000,SL001001002000000000,SL001001000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-11.16554149000,8.16260561000,Bonya,Dodo,Kenema,Eastern,{57AF985B-5741-4AE6-A41B-09DE516227F3},{5201EEB3-83D3-4D58-A3D3-19E95E84A491},{92B77ED9-62C6-4D2C-9199-820F23BD6412},{579A0FB8-7C70-48C1-B8C4-B99C7C5399CB},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{A7513D29-50D9-49A3-8EB1-318C6ECAB346},0.21105967979,0.00235119318
317,AFRO,SL,BUNDORYAMA,DODO,KENEMA,EASTERN,SIERRA LEONE,SL001001002002003000,SL001001002002000000,SL001001002000000000,SL001001000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-11.22412773000,8.20169975000,Bundoryama,Dodo,Kenema,Eastern,{9770B970-AD25-4AD7-90F5-EC50CE584A55},{5201EEB3-83D3-4D58-A3D3-19E95E84A491},{92B77ED9-62C6-4D2C-9199-820F23BD6412},{579A0FB8-7C70-48C1-B8C4-B99C7C5399CB},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{391473DE-D208-4503-9722-E21042B610DB},0.31640166418,0.00403722743
318,AFRO,SL,GORAMA,DODO,KENEMA,EASTERN,SIERRA LEONE,SL001001002002004000,SL001001002002000000,SL001001002000000000,SL001001000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-11.20566012000,8.30817970000,Gorama,Dodo,Kenema,Eastern,{4F7CB9B7-26DA-4EF8-9FC3-C9211E246615},{5201EEB3-83D3-4D58-A3D3-19E95E84A491},{92B77ED9-62C6-4D2C-9199-820F23BD6412},{579A0FB8-7C70-48C1-B8C4-B99C7C5399CB},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{CE345C06-A6BA-4E3C-AD8D-D0E741E65F34},0.32914191104,0.00597654786
319,AFRO,SL,GBONGRE,MANDU,KAILAHUN,EASTERN,SIERRA LEONE,SL001001001010001000,SL001001001010000000,SL001001001000000000,SL001001000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-10.77384341000,8.04244345000,Gbongre,Mandu,Kailahun,Eastern,{AA26C8EC-5989-4F2C-8948-0B6D82FE8AEA},{844244F4-6A8D-43E7-8905-342451AB8C00},{89BDC966-C3F9-43B5-8B1C-DDDE66D2CB80},{579A0FB8-7C70-48C1-B8C4-B99C7C5399CB},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{0E730D94-0D2E-4833-A15B-DA88AD204243},0.26095608202,0.00338287810
