"","NAME.who","NAME.shpfile","iso3.x","who_coverage","merge_status","GAUL_CODE"
"144","harib","harib","YEM",108.9333084,"success",4016253
"145","haribalqaramish","haribalqaramish","YEM",74.25379091,"success",5016253
"146","hat","hat","YEM",58.37017582,"success",3007253
"147","hawf","hawf","YEM",66.42647612,"success",4007253
"148","haydan","haydan","YEM",25.9352914,"success",6018253
"149","hayran","hayran","YEM",92.85526729,"success",17013253
"150","hays","hays","YEM",80.006049,"success",23005253
"151","hazmaludayn","hazmaludayn","YEM",93.20048511,"success",15014253
"152","hubaysh","hubaysh","YEM",101.9707119,"success",16014253
"153","hufash","hufash","YEM",79.75022166,"success",7008253
"154","huraidhah","huraidhah","YEM",88.0969188,"success",19012253
"155","huswain","huswain","YEM",56.01885999,"success",5007253
"156","huth","huth","YEM",77.81807708,"success",11010253
"157","ibb","ibb","YEM",107.1815415,"success",17014253
"158","iyalsurayh","iyalsurayh","YEM",81.84391428,"success",12010253
"159","jabalashsharq","jabalashsharq","YEM",105.493839,"success",6011253
"160","jabaliyalyazid","jabaliyalyazid","YEM",84.19911027,"success",13010253
"161","jabalras","jabalras","YEM",96.97347856,"success",24005253
"162","jahaf","jahaf","YEM",90.48445711,"success",7004253
"163","jahran","jahran","YEM",90.13802536,"success",7011253
"164","jayshan","jayshan","YEM",88.19842208,"success",4002253
"165","jiblah","jiblah","YEM",91.80489711,"success",18014253
"166","juban","juban","YEM",76.8432797,"success",8004253
"167","kamaran","kamaran","YEM",70.26770339,"success",25005253
"168","khanfir","khanfir","YEM",82.324764,"success",5002253
"169","kharabalmarashi","kharabalmarashi","YEM",34.98598273,"success",11006253
"170","khayranalmuharraq","khayranalmuharraq","YEM",96.93452014,"success",18013253
"171","khurmaksar","khurmaksar","YEM",65.62296966,"success",8001253
"172","khwlan","khwlan","YEM",104.9931379,"success",12019253
"173","kuaydinah","kuaydinah","YEM",103.0665938,"success",19013253
"174","kuhlanaffar","kuhlanaffar","YEM",96.05928035,"success",20013253
