"","NAME","NAME.who","NAME.shpfile","iso3","iso3.x","iso3.y","who_coverage","who_coverage.x","who_coverage.y","merge_status","merge_status.x","merge_status.y","GAUL_CODE","GAUL_CODE.x","GAUL_CODE.y"
"196","gumer","gumer",NA,"ETH",NA,NA,90.39693744,NA,NA,"success",NA,NA,216,NA,NA
"197","guna","guna",NA,"ETH",NA,NA,109.8643515,NA,NA,"success",NA,NA,586,NA,NA
"198","gunagado","gunagado",NA,"ETH",NA,NA,33.68754289,NA,NA,"success",NA,NA,88,NA,NA
"199","guradamole","guradamole",NA,"ETH",NA,NA,105.2870927,NA,NA,"success",NA,NA,528,NA,NA
"200","gursum","gursum",NA,"ETH",NA,NA,93.49004501,NA,NA,"success",NA,NA,50,NA,NA
"201","gursum","gursum",NA,"ETH",NA,NA,93.49004501,NA,NA,"success",NA,NA,423,NA,NA
"202","gursum","gursum",NA,"ETH",NA,NA,127.0964874,NA,NA,"success",NA,NA,50,NA,NA
"203","gursum","gursum",NA,"ETH",NA,NA,127.0964874,NA,NA,"success",NA,NA,423,NA,NA
"204","gutogida","gutogida",NA,"ETH",NA,NA,96.95059782,NA,NA,"success",NA,NA,772,NA,NA
"205","habro","habro",NA,"ETH",NA,NA,90.30495351,NA,NA,"success",NA,NA,466,NA,NA
"206","habru","habru",NA,"ETH",NA,NA,97.82404956,NA,NA,"success",NA,NA,768,NA,NA
"207","hadigala","hadigala",NA,"ETH",NA,NA,105.5203455,NA,NA,"success",NA,NA,38,NA,NA
"208","hambelawamena","hambelawamena",NA,"ETH",NA,NA,102.0601081,NA,NA,"success",NA,NA,600,NA,NA
"209","hamer","hamer",NA,"ETH",NA,NA,87.71006118,NA,NA,"success",NA,NA,199,NA,NA
"210","harenabuluk","harenabuluk",NA,"ETH",NA,NA,144.363297,NA,NA,"success",NA,NA,595,NA,NA
"211","hargele","hargele",NA,"ETH",NA,NA,73.00334484,NA,NA,"success",NA,NA,636,NA,NA
"212","harolimu","harolimu",NA,"ETH",NA,NA,85.2576873,NA,NA,"success",NA,NA,625,NA,NA
"213","haromaya","haromaya",NA,"ETH",NA,NA,92.95746198,NA,NA,"success",NA,NA,748,NA,NA
"214","haru","haru",NA,"ETH",NA,NA,86.80965289,NA,NA,"success",NA,NA,650,NA,NA
